id,subject,body,label
1,Thông báo vi phạm và yêu cầu thanh toán,"Xin chào, Bạn đang vi phạm Khoản 1 Điều 466 Bộ luật Dân sự! Nhân viên của chúng tôi đã được chỉ định đến địa chỉ của bạn để gửi thông báo bằng văn bản. Hãy thanh toán ngay HDCC 1.850.000 VNĐ tại đường dẫn: https://v.f1.gl/2Pcwp. Hotline: 19008184. Cayvang.vn",spam
2,Thông báo trúng thưởng,Xin chúc mừng bạn dxdiag@gmail.com đã trúng thưởng một xe máy SH trị giá 97 triệu đồng. Vui lòng truy cập Website: www.traogianammo2022.com  để hoàn tất hồ sơ nhận thưởng.,spam
3,Đơn của bạn bị từ chối,"Bạn đang ngập trong nợ nần?
Đây là những gì chúng tôi có thể làm cho bạn!!
Xóa bỏ nợ thẻ tín dụng của bạn!
Cho phép bạn ngừng thanh toán ngay lập tức!
Nhận được giấy xác nhận số dư bằng 0 từ chủ nợ của bạn!
Không giống như phá sản, dịch vụ này hoàn toàn riêng tư
và sẽ không làm ảnh hưởng đến báo cáo tín dụng của bạn!
Hãy yêu cầu tư vấn miễn phí ngay bây giờ!
http://www.goodoffer4u.biz

STOP
http://www.goodoffer4u.biz/1.htm",spam
4,Đảm bảo giảm 10–12 cân trong 30 ngày 10.162,"Đánh bại nguy cơ ung thư!
http://www.adclick.ws/p.cfm?o=315&s=pk007

Giảm cân – Đảm bảo giảm 10-12 cân trong 30 ngày
http://www.adclick.ws/p.cfm?o=249&s=pk007

Nhận tiền trợ cấp nuôi con mà bạn xứng đáng có – Tư vấn pháp lý miễn phí
http://www.adclick.ws/p.cfm?o=245&s=pk002

Tham gia cộng đồng hẹn hò phát triển nhanh nhất trên web
http://www.adclick.ws/p.cfm?o=259&s=pk007

Bắt đầu tạo album ảnh riêng tư trực tuyến ngay!
http://www.adclick.ws/p.cfm?o=283&s=pk007

Chúc bạn một ngày tuyệt vời,
Quản lý Ưu đãi
PrizeMama

Nếu bạn muốn rời khỏi danh sách này, vui lòng sử dụng liên kết dưới đây.
http://www.qves.com/trim/?zzzz@spamassassin.taint.org%7C17%7C308417",spam
5,Cơ hội việc làm ở nhà,"Một cơ hội kinh doanh tại nhà đang gõ cửa nhà bạn.

Đừng thờ ơ và để lỡ cơ hội này.

Bạn có thể kiếm được một khoản thu nhập tuyệt vời và thay đổi hoàn toàn cuộc sống tài chính của mình.

Tìm hiểu thêm tại đây.
https://www.work@thome.com
Chúc bạn thành công.

Chuyên gia tìm việc làm tại nhà",spam
6,"Phần mềm bản quyền giá rẻ!!!
Đặt hàng ngay – tải về siêu tốc!!","Microsoft Office 365 chỉ 99 USD
Windows 11 Pro Key bản quyền trọn đời 79 USD
Adobe Photoshop 2025 chỉ 149 USD
Adobe Premiere Pro 2025
Autodesk AutoCAD 2025 & hàng ngàn phần mềm khác

Nhanh tay, ưu đãi có hạn!!!",spam
7,Đảm bảo giảm 10–12 cân trong 30 ngày 10.048,"Tôi nghĩ bạn có thể thích những điều này:

Giảm cân – Đảm bảo giảm 10–12 cân trong 30 ngày
http://www.freeyankee.com/cgi/fy2/to.cgi?l=822slim1

Đánh bại nguy cơ ung thư!
http://www.freeyankee.com/cgi/fy2/to.cgi?l=822nic1

Nhận trợ cấp nuôi con mà bạn xứng đáng có – Tư vấn pháp lý miễn phí
http://www.freeyankee.com/cgi/fy2/to.cgi?l=822ppl1

Quản lý Ưu đãi

Nếu bạn muốn rời khỏi danh sách này, vui lòng sử dụng liên kết bên dưới.
http://www.qves.com/trim/?social@linux.ie%7C29%7C134077

--
Nhóm Người dùng Linux Ireland – Sự kiện xã hội: social@linux.ie

http://www.linux.ie/mailman/listinfo/social
 để đăng ký/hủy đăng ký.
Người quản lý danh sách: listmaster@linux.ie",spam
8,,"MỘT CHƯƠNG TRÌNH QUÀ TẶNG ĐẦY SỨC MẠNH mà bạn không muốn bỏ lỡ!

THAM GIA CÙNG VỚI NHỮNG NGƯỜI SÁNG LẬP!
CÁC “ĐẠI GIA” đang tham gia chương trình này
Lần đầu tiên, bạn có thể ở đúng chỗ, đúng lúc!
Đây là Lời Mời Riêng dành cho bạn!

CÁC CHUYÊN GIA ĐANG GỌI ĐÂY LÀ CÁCH NHANH NHẤT
ĐỂ CÓ DÒNG TIỀN KHỔNG LỒ TỪ TRƯỚC ĐẾN NAY
Biến 1.000 USD thành 50.000 USD lặp đi lặp lại!

CÂU HỎI LÀ:
BẠN MUỐN GIÀU CÓ
HAY LÀ KHÔNG!!!
BẠN THUỘC LOẠI NÀO?
Tôi đang ném cho bạn một chiếc phao cứu sinh tài chính, và vì lợi ích của bạn,
hãy NẮM lấy nó và bám thật chặt cho chuyến đi của đời bạn!

Lời chứng thực:
– “Chúng tôi nhận được 8.000 USD chỉ trong 1 ngày và lặp lại điều đó nhiều lần!” – Q.S. tại Alabama
– “Tôi là mẹ đơn thân ở Florida và đã nhận được 12.000 USD trong 4 ngày qua.” – D.S. tại Florida
– “Tôi không chắc khi gửi 1.000 USD, nhưng tôi đã nhận về 2.000 USD ngay ngày hôm sau!” – L.L. tại Kentucky
– “Tôi không có tiền nên đã tìm một người cùng hợp tác. Chúng tôi nhận được 4.000 USD trong 2 ngày. Quyết định đúng đắn, bạn có nghĩ vậy không?” – K.C. tại Florida
– “Tôi nhận được 3.000 USD ngay ngày đầu tiên, họ còn tặng danh sách khách hàng và toàn bộ đào tạo miễn phí, bạn cũng có thể!” – J.W. tại California

THÔNG BÁO: Chúng tôi sẽ CHỐT ĐƠN HỘ BẠN!
Và giúp bạn có Fax Blast NGAY LẬP TỨC khi tham gia!!!
BẠN là người kiếm tiền!!!

KHÁCH HÀNG MIỄN PHÍ!!! ĐÀO TẠO MIỄN PHÍ!!!
ĐỪNGCHỜĐỢI!!!GỌINGAY
FAX: 1-800-421-6318 hoặc Gọi: 1-800-896-6568

Tên__________________________________Điện thoại________________________________________

Fax___________________________________Email____________________________________________

Thời gian gọi tốt nhất____________________Múi giờ________________________________________

Thông điệp này được gửi theo luật email mới.
“Căn cứ Mục 301, Khoản (a)(2)(C) của S. 1618, bạn có thể dừng nhận thư mà không tốn phí bằng cách trả lời email này với từ ‘REMOVE’ trong tiêu đề.”

Đây KHÔNG PHẢI spam! Danh sách này được lấy từ CSDL Replicate, liên quan đến Seattle Marketing Group, The Gigt hoặc Turbo Team, chỉ nhằm mục đích liên lạc.
Việc bạn tiếp tục trong danh sách là do SỰ ĐỒNG Ý của bạn. Nếu không muốn nhận mail, vui lòng gửi email tới tesrewinter@yahoo.com
 với “Remove” trong tiêu đề để được xóa ngay lập tức.",spam
9,Cảnh báo đăng nhập,Cảnh báo: Đã phát hiện nỗ lực đăng nhập bất thường. Hãy xác minh tài khoản của bạn bằng cách nhấp vào đây ,spam
10,Điện thoại miễn phí + Hoàn tiền 50 USD!,"📱 Nhận ngay Điện thoại Motorola MIỄN PHÍ + Hoàn tiền 50 USD!

*Ưu đãi điện thoại miễn phí cần được VoiceStream Wireless phê duyệt tín dụng.
*Phải kích hoạt số thuê bao mới để nhận điện thoại miễn phí.
*Phí kích hoạt một lần 25 USD áp dụng cho tất cả thuê bao mới.
*Phạm vi phủ sóng không có ở mọi khu vực.
*Ưu đãi do SimplyWireless.com – đại lý ủy quyền của VoiceStream thực hiện.
*Hoàn tiền 50 USD (mail-in rebate) cho gói cước VoiceStream từ 29,99 USD trở lên.
*Ưu đãi kết thúc 31/8/2002.

Bạn nhận email này vì là thành viên SendGreatOffers.com.
Để hủy đăng ký, bấm vào liên kết hoặc trả lời email với từ “REMOVE” trong tiêu đề",spam
