subject,body,pred,probability (%),time
Đăng nhập trên một thiết bị mới,"Hi Phạm Anh Đức,
Tài khoản của bạn đã được sử dụng để đăng nhập trên một thiết bị hoặc trình duyệt mới vào ngày 2025-05-24 04:16:22 UTC.
Chúng tôi không thể xác nhận tài khoản này đã được sử dụng trên thiết bị này trước đây hay chưa.

Để đảm bảo an toàn cho tài khoản của mình, bạn phải thêm thiết bị này vào danh sách các thiết bị tin cậy của mình trước khi hoàn tất quá trình đăng nhập.

Vui lòng nhấp vào nút dưới đây để thêm thiết bị hoặc trình duyệt này vào danh sách các thiết bị tin cậy của bạn.
Thêm vào danh sách các thiết bị tin cậy
Nếu không đăng nhập trên thiết bị này, chúng tôi đề xuất bạn nên thay đổi mật khẩu tài khoản của mình để đảm bảo an toàn dữ liệu.
Vui lòng lưu ý: TeamViewer không bao giờ yêu cầu bạn cung cấp thông tin đăng nhập.
Hãy giữ liên lạc,
TeamViewer",spam,55.20062144333156,2025-10-04 00:50:18
Lời nhắc: hãy cập nhật thông tin thanh toán của bạn,"Chúng tôi vẫn không thể xử lý khoản thanh toán của bạn.
Đã xảy ra sự cố với phương thức thanh toán của bạn cho tháng tới. Sau này, gói Premium for Students của bạn sẽ không còn hiệu lực nếu bạn không có phương thức thanh toán hợp lệ cho tài khoản. Nguyên nhân có thể là do:
Có vấn đề về ngân hàng hoặc tài khoản của bạn; hoặc
Thẻ thanh toán của bạn đã hết hạn
Vui lòng cập nhật thông tin thanh toán của bạn để không bị gián đoạn dịch vụ. Chúng tôi sẽ cố gắng xử lý lại khoản thanh toán của bạn trong vài ngày tới.
cập nhật thông tin",spam,64.20687972653994,2025-10-04 00:51:36
Gia hạn thẻ vé tháng thành công,"Kính gửi khách hàng: Phạm Anh Đức
Trung tâm Quản lý và Điều hành giao thông Thành phố Hà Nội xin trân trọng thông báo thông tin quý khách hàng vừa gia hạn thẻ vé tháng thành công.

Mã thẻ: 002300XXXX/HPTC - Loại thẻ: Vật lý

Số vé: 0025010576253/HPTC
Tên vé: Vé tháng ưu tiên liên tuyến buýt
Tháng sử dụng: 10/2025
Ngày nhận thẻ/vé dự kiến: Trong vòng 5 ngày làm việc

Mọi thông tin xin vui lòng liên hệ trực tiếp qua hotline: 0798.39.1998 để nhận được sự trợ giúp.

Trân trọng!

Lưu ý: ngày làm việc là từ thứ Hai đến thứ Sáu, trừ ngày lễ, tết.",ham,91.13943763358586,2025-10-04 00:54:39
[Bitmart] 🔥 DÀNH RIÊNG CHO【VIỆT NAM】 - Hơn 90% đồng bào đang sôi nổi tham gia!,"Kính gửi Người dùng BitMart,
 
Sự kiện ưu đãi siêu hấp dẫn sắp kết thúc! Đừng bỏ lỡ cơ hội cuối cùng!
Thời gian kết thúc: 04:59:59 UTC ngày 11/09/2025
【NHẬN THƯỞNG NGAY】
✅ 【Lợi nhuận an toàn】Gửi tiền nhận ngay 10% hoàn trả - Rủi ro 0%
✅ 【Ưu đãi cho người mới】Giao dịch đầu tiên nhận ngay 200 USDT
✅ 【Cộng đồng sôi động】Người dùng mới và cũ cùng nhau chia sẻ giải thưởng 20.000 USDT
 
Đừng bỏ lỡ bữa tiệc ưu đãi siêu hấp dẫn này, được thiết kế đặc biệt dành riêng cho người dùng Việt Nam!
Cảnh báo rủi ro: Giao dịch tiền mã hóa chịu nhiều rủi ro từ thị trường. BitMart sẽ luôn cố gắng chọn các coin chất lượng, nhưng không chịu trách nhiệm về các tổn thất của bạn khi giao dịch. Vui lòng giao dịch một cách thận trọng.
Copyright 2017-2025 © bitmart.com.",spam,88.3862127197562,2025-10-04 01:04:09
Thông báo về việc thay đổi hóa đơn điện tử,"Kính gửi: Phạm Anh Đức
Hóa đơn của Phạm Anh Đức có thông tin:
- Ký hiệu mẫu hóa đơn: 2
- Ký hiệu hóa đơn: C24THN
- Số hóa đơn: 53538
- Ngày lập: 30/09/2024
- Người  bán hàng hóa, cung cấp dịch vụ: TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI (MST: 2500224668)
Đã được điều chỉnh bằng ký hiệu mẫu hóa đơn: 2, ký hiệu hóa đơn: C25THN, số hóa đơn: 77809, ngày lập: 05/10/2025
Trong trường hợp cần biết thêm thông tin chi tiết, đề nghị đơn vị liên hệ với người bán hàng hóa, cung cấp dịch vụ.
Trân trọng cảm ơn!",ham,53.83211131798491,2025-10-07 09:43:09
Thông báo về việc TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI  phát hành hóa đơn điện tử số:  00077809,"Thông báo
Về việc xuất Hoá đơn điện tử

Kính gửi:
Mã số thuế:

TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI xin cám ơn Quý Khách hàng đã sử dụng dịch vụ của chúng tôi.

TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI đã xuất hóa đơn điện tử số 00077809 đến Quý Khách hàng, thông tin chi tiết như sau:

Số: 00077809
Ngày: 05/10/2025
Ký hiệu: 2C25THN
Mã cơ quan thuế: 00FEEBB91B9248439CAD4C915DA4CFB3FF
- Tải hóa đơn điện tử (Tại đây)

- Kiểm tra hóa đơn gốc hoặc xem chi tiết (Tại đây)

Quý Khách hàng cũng có thể tra cứu lại hóa đơn điện tử (Tại đây) theo mã số bí mật GQ2KQTWOE6TMAJV

Ghi chú: Thông báo này được gửi tự động từ hệ thống Hóa Đơn Điện Tử của TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI – MST: 2500224668

Đây là mail tự động, vui lòng không trả lời.",ham,70.45227234424854,2025-10-07 09:44:15
"Kính gửi Quý fan,

DJ/Producer Mega.D chính thức phát hành album mới mang tên Into the Deep vào ngày 25/10 trên Spotify và Apple Music. Album bao gồm 12 ca khúc độc quyền.

Xin mời Quý vị cùng thưởng thức.

Thân mến,
Ban quản lý nghệ sĩ",Thông báo phát hành album mới,ham,83.77576518105731,2025-10-13 23:51:26
Mua phần mềm Microsoft Office giá rẻ,"Bạn muốn tiết kiệm khi mua Microsoft Office?
Nhanh tay đặt hàng ngay! Giá cực thấp, giao hàng nhanh chóng.
Phần mềm bản quyền, không cần giấy phép phức tạp.
Có mọi loại phần mềm bạn cần: Office, Excel, Word, PowerPoint.
Số lượng có hạn – đừng bỏ lỡ cơ hội!",spam,97.63970712097907,2025-10-31 16:11:43
"HOÀNG HÀ MOBILE - MST : 0106713191 - THÔNG BÁO PHÁT HÀNH HÓA ĐƠN ĐIỆN TỬ
","Kính gửi: Quý khách hàng

Chúng tôi xin gửi Quý khách hàng thông tin hóa đơn điện tử đã xuất như sau :

Số hóa đơn: C25MHH106271

Ngày lập: 21/10/2025 21:11:05

Số bảo mật: A8PVOTIO9PRAPGO

Quý khách có thể tra cứu lại hóa đơn điện tử tại https://vinvoice.viettel.vn/utilities/invoice-search theo mã số bí mật A8PVOTIO9PRAPGO

Xin trân trọng cảm ơn Quý khách đã sử dụng sản phẩm/dịch vụ của chúng tôi!",ham,68.28674643197162,2025-10-31 16:34:06
"HOÀNG HÀ MOBILE - MST : 0106713191 - THÔNG BÁO PHÁT HÀNH HÓA ĐƠN ĐIỆN TỬ
","Kính gửi: Quý khách hàng

Chúng tôi xin gửi Quý khách hàng thông tin hóa đơn điện tử đã xuất như sau :

Số hóa đơn: C25MHH106271

Ngày lập: 21/10/2025 21:11:05

Số bảo mật: A8PVOTIO9PRAPGO

Quý khách có thể tra cứu lại hóa đơn điện tử tại https://vinvoice.viettel.vn/utilities/invoice-search theo mã số bí mật A8PVOTIO9PRAPGO

Xin trân trọng cảm ơn Quý khách đã sử dụng sản phẩm/dịch vụ của chúng tôi!",ham,68.28674643197162,2025-10-31 17:30:56
